,date,open,high,low,close,volume,dividends,splits,eps_estimate,reported_eps,surprise_pct,Amortization,AmortizationOfIntangiblesIncomeStatement,AverageDilutionEarnings,BasicAverageShares,BasicEPS,CostOfRevenue,DepletionIncomeStatement,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EarningsFromEquityInterest,EarningsFromEquityInterestNetOfTax,ExciseTaxes,GainOnSaleOfBusiness,GainOnSaleOfPPE,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromTaxLossCarryforward,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherGandA,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherTaxes,OtherunderPreferredStockDividend,PreferredStockDividends,PretaxIncome,ProvisionForDoubtfulAccounts,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,ResearchAndDevelopment,RestructuringAndMergernAcquisition,SalariesAndWages,SecuritiesAmortization,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff,total_revenue,symbol,numberOfFunds,marketCapitalizationPrimary,numberOfFunds_prev,gap,earnings_acceleration,sales_acceleration,highest_1,highest_1_index,lowest_1,drawdown_open_1,drawdown_low_1,maxrunup_open_1,maxrunup_close_1,win1
281,2023-06-08 00:00:00+00:00,1.62,1.62,1.34,1.4,37400,0.0,0.0,-0.25,0.08,132.39,,,,31700029.0,-0.56,23559317.0,,,,,31700029.0,-0.56,-17752016.0,-21346366.0,-21346366.0,,,,682996.0,,-52.0,20563305.0,18759058.0,,,,,,,-19304.0,-17752016.0,-17752016.0,-17732712.0,,,-17752016.0,-17752016.0,,-17732712.0,226151.0,226151.0,-21346314.0,-17751972.34,40105424.0,-21346366.0,42318375.0,20563305.0,-52.0,,-5505.0,,,,,-21120267.0,,23559317.0,,,,956105.0,,,,18586014.0,39149319.0,682996.0,-8.34,-3387555.0,0.16,63664741.0,-21346366.0,-226151.0,-52.0,-52.0,0.0,42318375.0,AACG,4.0,31093602.0,,20.0,0.0,-18.77,1.62,0.0,1.34,-17.28,0.0,0.0,15.71,0.0
322,2023-11-03 00:00:00+00:00,1.06,1.06,0.9,0.99,9600,0.0,0.0,-0.25,0.08,132.39,,,,31875869.0,-0.54,21934342.0,,,,,31875869.0,-0.54,-17212969.0,-21381674.0,-21381674.0,,,,682996.0,,-330.0,15740080.0,14307448.0,,,,,240246.0,240246.0,17210.0,-17212969.0,-17212969.0,-17230179.0,,,-17212969.0,-17212969.0,,-17230179.0,240246.0,240246.0,-21381344.0,-17212700.06,35689122.0,-21381674.0,36241790.0,15740080.0,-330.0,,-1553.0,,,,,-21141758.0,,21934342.0,,,,817931.0,,,,19132664.0,34872744.0,682996.0,-61.06,-3911579.0,0.19,57623464.0,-21381674.0,-226151.0,-330.0,-330.0,0.0,36241790.0,AACG,4.0,31093602.0,4.0,11.58,0.0,-14.36,1.1,1.0,0.9,-15.09,0.0,3.77,11.11,
326,2023-11-10 00:00:00+00:00,0.95,0.95,0.85,0.85,5400,0.0,0.0,-0.25,0.08,132.39,,,,31875869.0,-0.54,21934342.0,,,,,31875869.0,-0.54,-17212969.0,-21381674.0,-21381674.0,,,,682996.0,,-330.0,15740080.0,14307448.0,,,,,240246.0,240246.0,17210.0,-17212969.0,-17212969.0,-17230179.0,,,-17212969.0,-17212969.0,,-17230179.0,240246.0,240246.0,-21381344.0,-17212700.06,35689122.0,-21381674.0,36241790.0,15740080.0,-330.0,,-1553.0,,,,,-21141758.0,,21934342.0,,,,817931.0,,,,19132664.0,34872744.0,682996.0,-61.06,-3911579.0,0.19,57623464.0,-21381674.0,-226151.0,-330.0,-330.0,0.0,36241790.0,AACG,4.0,31093602.0,4.0,11.76,0.0,-14.36,0.98,7.0,0.8,-15.79,-5.88,3.16,15.29,
476,2023-05-30 00:00:00+00:00,4.14,4.23,3.99,4.06,5148000,0.0,0.0,0.08,0.05,-33.33,,,,28004000.0,-0.1,,,,,,28004000.0,-0.1,-2878000.0,,,,,,,,-3851000.0,3911000.0,,,,8347000.0,,14000000.0,,,-2218000.0,-2878000.0,-2218000.0,,,-2218000.0,-2218000.0,,-2218000.0,5653000.0,,,-2218000.0,,,1802000.0,1656000.0,,-1872000.0,,,,,660000.0,-2109000.0,,,,,,,,2255000.0,,,3911000.0,,0.0,109000.0,0.21,,,,14407000.0,14407000.0,,1802000.0,AAIC,28.0,136732928.0,,50.55,0.0,-81.53,4.54,20.0,3.99,-3.62,0.0,9.66,11.82,13.3
680,2023-04-25 00:00:00+00:00,11.99,13.0,11.5,12.36,1198600,0.0,0.0,0.27,0.66,141.47,2646000.0,2646000.0,,30793000.0,0.42,258667000.0,,2646000.0,2646000.0,,31239000.0,0.41,12798000.0,13250000.0,159111000.0,,,,,823000.0,,131445000.0,295694000.0,12933000.0,,4358000.0,4358000.0,,,,12798000.0,12798000.0,12798000.0,,,12798000.0,12798000.0,,12798000.0,-4358000.0,-4358000.0,186537000.0,34464540.0,255590000.0,40104000.0,554361000.0,3715000.0,-26854000.0,572000.0,124145000.0,,,,,8892000.0,,258667000.0,145861000.0,56279000.0,56279000.0,,7266000.0,131445000.0,,12955000.0,131445000.0,-27426000.0,-5759460.0,-3906000.0,0.21,514257000.0,12678000.0,8101000.0,-27426000.0,-27426000.0,20160000.0,554361000.0,AAN,354.0,272657700.0,,19.86,0.0,-6.58,13.57,3.0,11.5,-4.08,0.0,13.14,9.83,0.16
811,2023-06-22 00:00:00+00:00,4.7,4.7,3.59,3.77,6424000,0.0,0.0,-0.18,-0.25,-36.37,,,,28871857.0,-0.56,43786000.0,,,,,28871857.0,-0.56,-16292000.0,-14155000.0,-8826000.0,,,,,-3000.0,-237000.0,12548000.0,9244000.0,,,2137000.0,2137000.0,33000.0,33000.0,,-16292000.0,-16292000.0,-16292000.0,,,-16292000.0,-16292000.0,,-16292000.0,-2104000.0,-2104000.0,-8586000.0,-16052000.0,23293000.0,-14049000.0,53030000.0,12548000.0,-139000.0,101000.0,-118000.0,,,,,-16292000.0,,43786000.0,5329000.0,,,8536000.0,,,,2327000.0,14875000.0,-3000.0,0.0,,0.0,67079000.0,-14167000.0,,-240000.0,-240000.0,,53030000.0,AAOI,54.0,519180960.0,,12.73,0.0,-6.46,11.48,14.0,3.59,-23.51,0.0,144.52,204.51,125.99
829,2023-08-04 00:00:00+00:00,8.37,11.29,8.05,11.01,31716600,0.0,0.0,-0.28,-0.21,24.28,,,,29488561.0,-0.57,33717000.0,,,,,29488561.0,-0.57,-16944000.0,-14761000.0,-9568000.0,,,,,-4000.0,413000.0,12954000.0,7898000.0,,,2175000.0,2175000.0,37000.0,37000.0,,-16944000.0,-16944000.0,-16944000.0,,,-16944000.0,-16944000.0,,-16944000.0,-2138000.0,-2138000.0,-9977000.0,-17353000.0,23148000.0,-15250000.0,41615000.0,12954000.0,452000.0,43000.0,-715000.0,,,,,-16936000.0,,33717000.0,5193000.0,,,8640000.0,,,,2269000.0,15223000.0,-4000.0,0.0,8000.0,0.0,56865000.0,-15965000.0,,409000.0,409000.0,,41615000.0,AAOI,57.0,519180960.0,54.0,27.01,0.0,-21.53,16.26,14.0,8.05,-3.82,0.0,94.27,47.68,17.62
1344,2023-05-04 00:00:00+00:00,0.14,0.14,0.12,0.13,7793400,0.0,0.0,-0.01,-0.01,22.24,,,,137221408.0,-0.0,28212.0,,,,,137221408.0,-0.0,-550265.0,-409265.0,-381053.0,,,,,,193360.0,474113.0,-28212.0,,23864.0,141000.0,141000.0,58111.0,58111.0,,-550265.0,-550265.0,-550265.0,,,-550265.0,-550265.0,,-550265.0,-82889.0,-82889.0,-574413.0,-743625.0,632524.0,-660736.0,0.0,-54045.0,193360.0,219204.0,145955.0,-177200.0,,,,-550265.0,,28212.0,28212.0,9894.0,9894.0,,,494400.0,,12456.0,486569.0,177200.0,0.0,,0.0,660736.0,,,193360.0,193360.0,,0.0,AAU,9.0,19361884.0,,16.67,0.0,,0.14,0.0,0.12,-14.29,0.0,0.0,7.69,-7.69
1349,2023-06-08 00:00:00+00:00,0.14,0.14,0.12,0.13,278500,0.0,0.0,-0.01,-0.01,22.24,,,,137221408.0,-0.0,28212.0,,,,,137221408.0,-0.0,-550265.0,-409265.0,-381053.0,,,,,,193360.0,474113.0,-28212.0,,23864.0,141000.0,141000.0,58111.0,58111.0,,-550265.0,-550265.0,-550265.0,,,-550265.0,-550265.0,,-550265.0,-82889.0,-82889.0,-574413.0,-743625.0,632524.0,-660736.0,0.0,-54045.0,193360.0,219204.0,145955.0,-177200.0,,,,-550265.0,,28212.0,28212.0,9894.0,9894.0,,,494400.0,,12456.0,486569.0,177200.0,0.0,,0.0,660736.0,,,193360.0,193360.0,,0.0,AAU,9.0,19361884.0,,16.67,0.0,,0.14,0.0,0.12,-14.29,0.0,0.0,7.69,15.38
1468,2023-10-11 00:00:00+00:00,7.97,8.0,6.8,6.88,621800,0.0,0.0,-0.15,-0.16,-6.67,,,,43466521.0,-0.15,,,,,,43466521.0,-0.15,-7098762.0,-6970202.0,-6838908.0,,,,,199472.0,1945.0,2515055.0,,0.0,,128560.0,128560.0,,,,-7098762.0,-7098762.0,-7098762.0,,,-7098762.0,-7098762.0,,-7098762.0,-128560.0,-128560.0,-7040325.0,-7300179.0,7185619.0,-7185619.0,0.0,2515055.0,215417.0,14000.0,431041.0,,,,,-7098762.0,,,131294.0,,,4239523.0,,,,,2515055.0,199472.0,0.0,,0.0,7185619.0,,,201417.0,201417.0,,0.0,ABAT,0.0,199107200.0,0.0,15.67,0.0,,8.0,0.0,6.8,-14.68,0.0,0.38,16.28,-36.19
2450,2023-07-11 00:00:00+00:00,5.75,6.39,5.32,6.0,4936700,0.0,0.0,-0.35,-0.28,19.08,,,,41025062.0,-0.28,,,,,,41025062.0,-0.28,-11610000.0,-13478000.0,-13425000.0,,,,,,,4345000.0,,,,,,1884000.0,1884000.0,,-11610000.0,-11610000.0,-11610000.0,,,-11610000.0,-11610000.0,,-11610000.0,1884000.0,1884000.0,-13425000.0,-11610000.0,13478000.0,-13478000.0,0.0,4345000.0,-16000.0,-16000.0,,,,,,-11610000.0,,,53000.0,,,9133000.0,,,,,4345000.0,,0.0,,0.0,13478000.0,-13478000.0,,,,,0.0,ABOS,66.0,130781680.0,73.0,15.89,0.0,,11.31,4.0,5.32,-7.45,0.0,96.76,88.5,13.0
2453,2023-07-17 00:00:00+00:00,11.01,11.31,9.26,9.72,29215900,0.0,0.0,-0.35,-0.28,19.08,,,,41025062.0,-0.28,,,,,,41025062.0,-0.28,-11610000.0,-13478000.0,-13425000.0,,,,,,,4345000.0,,,,,,1884000.0,1884000.0,,-11610000.0,-11610000.0,-11610000.0,,,-11610000.0,-11610000.0,,-11610000.0,1884000.0,1884000.0,-13425000.0,-11610000.0,13478000.0,-13478000.0,0.0,4345000.0,-16000.0,-16000.0,,,,,,-11610000.0,,,53000.0,,,9133000.0,,,,,4345000.0,,0.0,,0.0,13478000.0,-13478000.0,,,,,0.0,ABOS,66.0,130781680.0,73.0,75.32,0.0,,11.31,0.0,9.26,-15.89,0.0,2.72,16.36,-26.75
2930,2023-01-05 00:00:00+00:00,12.8,18.7,10.1,10.7,4378800,0.0,0.0,-0.12,-0.11,12.0,,,,3257912.0,-1.14,10741.0,,,,,3257912.0,-1.14,-3704864.0,-3645766.0,-3639304.0,,,,,,-177.0,3441886.0,31528.0,,,126536.0,126536.0,48164.0,48164.0,71660.0,-3704864.0,-3704864.0,-3776524.0,,,-3704864.0,-3704864.0,,-3776524.0,-78372.0,-78372.0,-3639127.0,-3704757.8,3747369.0,-3715841.0,42269.0,3216146.0,21911.0,22088.0,,,,,,-3772302.0,,10741.0,6462.0,,,305483.0,,225740.0,,,3441886.0,,-70.8,4222.0,0.4,3758110.0,-3715841.0,,-177.0,-177.0,,42269.0,ABVC,,,,106.45,0.0,,18.7,0.0,10.1,-21.09,0.0,46.09,74.77,-32.71
2977,2023-06-08 00:00:00+00:00,6.98,6.98,6.2,6.29,3240,0.0,0.0,-0.05,-0.06,-20.0,,,,3307577.0,-0.6,60236.0,,,,,3307577.0,-0.6,-1823695.0,-1840567.0,-1834074.0,,,,,,-12261.0,1639241.0,68036.0,,,56663.0,56663.0,52711.0,52711.0,73535.0,-1823695.0,-1823695.0,-1897230.0,,,-1823695.0,-1823695.0,,-1897230.0,-3952.0,-3952.0,-1821813.0,-1811434.0,1974220.0,-1906184.0,128272.0,1272752.0,12906.0,25167.0,,,,,,-1897230.0,,60236.0,6493.0,,,334979.0,,366489.0,,,1639241.0,,0.0,0.0,0.0,2034456.0,-1906184.0,,-12261.0,-12261.0,,128272.0,ABVC,8.0,5926500.0,,10.79,0.0,203.47,6.98,0.0,6.2,-11.17,0.0,0.0,10.97,-26.87
2980,2023-06-23 00:00:00+00:00,6.0,6.0,5.29,5.29,4680,0.0,0.0,-0.05,-0.06,-20.0,,,,3307577.0,-0.6,60236.0,,,,,3307577.0,-0.6,-1823695.0,-1840567.0,-1834074.0,,,,,,-12261.0,1639241.0,68036.0,,,56663.0,56663.0,52711.0,52711.0,73535.0,-1823695.0,-1823695.0,-1897230.0,,,-1823695.0,-1823695.0,,-1897230.0,-3952.0,-3952.0,-1821813.0,-1811434.0,1974220.0,-1906184.0,128272.0,1272752.0,12906.0,25167.0,,,,,,-1897230.0,,60236.0,6493.0,,,334979.0,,366489.0,,,1639241.0,,0.0,0.0,0.0,2034456.0,-1906184.0,,-12261.0,-12261.0,,128272.0,ABVC,8.0,5926500.0,,11.11,0.0,203.47,6.0,0.0,5.29,-11.83,0.0,0.0,13.42,-28.17
2986,2023-07-07 00:00:00+00:00,5.37,5.37,4.47,4.67,8540,0.0,0.0,-0.05,-0.06,-20.0,,,,3308740.0,-0.68,72981.0,,,,,3308740.0,-0.68,-2263511.0,-2118778.0,-2111781.0,,,,,,-18305.0,1612528.0,-66872.0,,,114752.0,114752.0,55041.0,55041.0,51714.0,-2263511.0,-2263511.0,-2315225.0,,,-2263511.0,-2263511.0,,-2315225.0,-59711.0,-59711.0,-2093476.0,-2252528.0,2126970.0,-2193842.0,6109.0,1386788.0,20023.0,38328.0,,,,,,-2233530.0,,72981.0,6997.0,,,514442.0,,225740.0,,,1612528.0,,-7322.0,81695.0,0.4,2199951.0,-2193842.0,,-18305.0,-18305.0,,6109.0,ABVC,7.0,5926500.0,8.0,15.73,0.0,-95.24,6.87,13.0,3.33,-37.99,-25.5,27.93,47.11,-44.54
2991,2023-07-26 00:00:00+00:00,5.19,6.87,5.06,5.32,33873100,0.0,0.0,-0.05,-0.06,-20.0,,,,3308740.0,-0.68,72981.0,,,,,3308740.0,-0.68,-2263511.0,-2118778.0,-2111781.0,,,,,,-18305.0,1612528.0,-66872.0,,,114752.0,114752.0,55041.0,55041.0,51714.0,-2263511.0,-2263511.0,-2315225.0,,,-2263511.0,-2263511.0,,-2315225.0,-59711.0,-59711.0,-2093476.0,-2252528.0,2126970.0,-2193842.0,6109.0,1386788.0,20023.0,38328.0,,,,,,-2233530.0,,72981.0,6997.0,,,514442.0,,225740.0,,,1612528.0,,-7322.0,81695.0,0.4,2199951.0,-2193842.0,,-18305.0,-18305.0,,6109.0,ABVC,7.0,5926500.0,8.0,36.58,0.0,-95.24,6.87,0.0,5.06,-2.5,0.0,32.37,29.14,-68.23
2993,2023-08-01 00:00:00+00:00,4.3,5.08,3.23,3.61,11266400,0.0,0.0,-0.05,-0.06,-20.0,,,,3308740.0,-0.68,72981.0,,,,,3308740.0,-0.68,-2263511.0,-2118778.0,-2111781.0,,,,,,-18305.0,1612528.0,-66872.0,,,114752.0,114752.0,55041.0,55041.0,51714.0,-2263511.0,-2263511.0,-2315225.0,,,-2263511.0,-2263511.0,,-2315225.0,-59711.0,-59711.0,-2093476.0,-2252528.0,2126970.0,-2193842.0,6109.0,1386788.0,20023.0,38328.0,,,,,,-2233530.0,,72981.0,6997.0,,,514442.0,,225740.0,,,1612528.0,,-7322.0,81695.0,0.4,2199951.0,-2193842.0,,-18305.0,-18305.0,,6109.0,ABVC,7.0,5926500.0,8.0,72.69,0.0,-95.24,5.08,0.0,3.23,-24.88,0.0,18.14,40.72,-65.37
3008,2023-10-26 00:00:00+00:00,3.31,3.35,1.21,1.28,82234100,0.0,0.0,-0.05,-0.06,-20.0,,,,3308740.0,-0.68,72981.0,,,,,3308740.0,-0.68,-2263511.0,-2118778.0,-2111781.0,,,,,,-18305.0,1612528.0,-66872.0,,,114752.0,114752.0,55041.0,55041.0,51714.0,-2263511.0,-2263511.0,-2315225.0,,,-2263511.0,-2263511.0,,-2315225.0,-59711.0,-59711.0,-2093476.0,-2252528.0,2126970.0,-2193842.0,6109.0,1386788.0,20023.0,38328.0,,,,,,-2233530.0,,72981.0,6997.0,,,514442.0,,225740.0,,,1612528.0,,-7322.0,81695.0,0.4,2199951.0,-2193842.0,,-18305.0,-18305.0,,6109.0,ABVC,7.0,5926500.0,8.0,289.41,0.0,-95.24,3.35,0.0,1.21,-63.44,0.0,1.21,161.72,31.25
3009,2023-10-27 00:00:00+00:00,1.49,1.6,1.3,1.38,16300600,0.0,0.0,-0.05,-0.06,-20.0,,,,3308740.0,-0.68,72981.0,,,,,3308740.0,-0.68,-2263511.0,-2118778.0,-2111781.0,,,,,,-18305.0,1612528.0,-66872.0,,,114752.0,114752.0,55041.0,55041.0,51714.0,-2263511.0,-2263511.0,-2315225.0,,,-2263511.0,-2263511.0,,-2315225.0,-59711.0,-59711.0,-2093476.0,-2252528.0,2126970.0,-2193842.0,6109.0,1386788.0,20023.0,38328.0,,,,,,-2233530.0,,72981.0,6997.0,,,514442.0,,225740.0,,,1612528.0,,-7322.0,81695.0,0.4,2199951.0,-2193842.0,,-18305.0,-18305.0,,6109.0,ABVC,7.0,5926500.0,8.0,16.41,0.0,-95.24,2.22,17.0,1.01,-32.21,-22.31,48.99,60.87,8.7
3015,2023-11-21 00:00:00+00:00,1.9,2.22,1.72,1.78,16503000,0.0,0.0,-0.05,-0.06,-20.0,,,,3308740.0,-0.68,72981.0,,,,,3308740.0,-0.68,-2263511.0,-2118778.0,-2111781.0,,,,,,-18305.0,1612528.0,-66872.0,,,114752.0,114752.0,55041.0,55041.0,51714.0,-2263511.0,-2263511.0,-2315225.0,,,-2263511.0,-2263511.0,,-2315225.0,-59711.0,-59711.0,-2093476.0,-2252528.0,2126970.0,-2193842.0,6109.0,1386788.0,20023.0,38328.0,,,,,,-2233530.0,,72981.0,6997.0,,,514442.0,,225740.0,,,1612528.0,,-7322.0,81695.0,0.4,2199951.0,-2193842.0,,-18305.0,-18305.0,,6109.0,ABVC,7.0,5926500.0,8.0,12.43,0.0,-95.24,2.22,0.0,1.72,-9.47,0.0,16.84,24.72,
3200,2023-07-14 00:00:00+00:00,30.07,32.89,28.73,32.18,9340100,0.0,0.0,-0.21,-0.27,-25.75,,,,163458000.0,0.01,7459000.0,,,,,165046000.0,0.01,1114000.0,3037000.0,3037000.0,,,,,,,95968000.0,157776000.0,,,,,4550000.0,4550000.0,,1114000.0,1114000.0,1114000.0,,,1114000.0,1114000.0,,1114000.0,4550000.0,4550000.0,3037000.0,1114000.0,154739000.0,3037000.0,165235000.0,84680000.0,-1244000.0,-1244000.0,,,,,,6343000.0,,7459000.0,1766000.0,,,58771000.0,,11288000.0,,,95968000.0,,0.0,5229000.0,0.21,162198000.0,3037000.0,,,,,165235000.0,ACAD,489.0,3659572220.0,467.0,16.55,0.0,39.48,33.99,2.0,28.73,-4.46,0.0,13.04,5.62,-12.96
3343,2023-09-15 00:00:00+00:00,0.93,1.06,0.88,0.98,93125500,0.0,0.0,-0.07,-0.24,-231.03,,,,353558623.0,-0.08,50075000.0,,2861000.0,2861000.0,,353558623.0,-0.08,-28331000.0,-16773000.0,-6765000.0,0.0,,6466000.0,,1631000.0,671000.0,24155000.0,25035000.0,0.0,,5335000.0,5335000.0,3351000.0,3351000.0,283000.0,-28331000.0,-28331000.0,-22204000.0,-6127000.0,,-28331000.0,-22204000.0,,-28331000.0,-1984000.0,-1984000.0,-1960000.0,-19321000.0,40723000.0,-15688000.0,81576000.0,21874000.0,-4436000.0,369000.0,-200000.0,6035000.0,,,,-22108000.0,,42928000.0,10008000.0,,,1101000.0,1072000.0,2281000.0,,12806000.0,36961000.0,-5476000.0,-1922000.0,96000.0,0.4,90798000.0,-16114000.0,,-4805000.0,-4805000.0,,75110000.0,ACB,55.0,164616600.0,91.0,10.44,0.0,52.47,1.06,0.0,0.88,-5.26,0.0,13.86,7.83,-47.51
3366,2023-11-10 00:00:00+00:00,0.51,0.52,0.46,0.47,16993300,0.0,0.0,-0.05,-0.18,-260.0,,,,353558623.0,-0.08,50075000.0,,2861000.0,2861000.0,,353558623.0,-0.08,-28331000.0,-16773000.0,-6765000.0,0.0,,6466000.0,,1631000.0,671000.0,24155000.0,25035000.0,0.0,,5335000.0,5335000.0,3351000.0,3351000.0,283000.0,-28331000.0,-28331000.0,-22204000.0,-6127000.0,,-28331000.0,-22204000.0,,-28331000.0,-1984000.0,-1984000.0,-1960000.0,-19321000.0,40723000.0,-15688000.0,81576000.0,21874000.0,-4436000.0,369000.0,-200000.0,6035000.0,,,,-22108000.0,,42928000.0,10008000.0,,,1101000.0,1072000.0,2281000.0,,12806000.0,36961000.0,-5476000.0,-1922000.0,96000.0,0.4,90798000.0,-16114000.0,,-4805000.0,-4805000.0,,75110000.0,ACB,55.0,164616600.0,91.0,14.83,0.0,52.47,0.52,0.0,0.46,-9.78,0.0,1.76,10.64,
3429,2023-06-30 00:00:00+00:00,13.99,14.69,13.12,13.47,1830000,0.0,0.0,-0.62,-0.52,16.12,,,,73179994.0,-0.52,54203000.0,,11640000.0,11640000.0,,73179994.0,-0.52,-38409000.0,-39629000.0,-27989000.0,,,,,,,16080000.0,39023000.0,0.0,,236000.0,236000.0,921000.0,921000.0,,-38409000.0,-38409000.0,-38409000.0,,,-38409000.0,-38409000.0,,-38409000.0,921000.0,921000.0,-27989000.0,-38409000.0,78652000.0,-39629000.0,93226000.0,16080000.0,390000.0,390000.0,,,,,,-38318000.0,,54203000.0,11640000.0,,,25899000.0,0.0,,,25033000.0,41113000.0,0.0,0.0,91000.0,0.4,132855000.0,-39629000.0,-739000.0,0.0,0.0,,93226000.0,ACCD,303.0,647972000.0,299.0,10.68,0.0,-5.86,15.11,20.0,11.04,-21.09,-15.85,7.98,12.15,11.21
3518,2023-05-05 00:00:00+00:00,4.66,4.92,4.61,4.89,972600,0.0,0.0,0.09,0.09,3.84,10900000.0,10900000.0,,94900000.0,-0.04,283300000.0,,10900000.0,10900000.0,,94900000.0,-0.04,-3700000.0,10600000.0,30500000.0,,,,,,,,119300000.0,98700000.0,,13900000.0,13900000.0,2400000.0,2400000.0,,-3700000.0,-3700000.0,-3700000.0,,,-3700000.0,-3700000.0,,-3700000.0,-11500000.0,-11500000.0,33800000.0,-1093000.0,105900000.0,13400000.0,402600000.0,,-5200000.0,-1900000.0,,,,,,-3300000.0,,274300000.0,19900000.0,,,,3300000.0,,,,95000000.0,-3300000.0,-693000.0,400000.0,0.21,389200000.0,10100000.0,,-3300000.0,-3300000.0,,402600000.0,ACCO,358.0,487914500.0,,10.18,0.0,-17.09,5.21,12.0,4.61,-1.03,0.0,11.86,6.6,3.82
4272,2023-11-08 00:00:00+00:00,0.91,0.91,0.85,0.86,9200,0.0,0.0,-0.42,-0.42,-0.8,,,,39899944.0,-0.42,,,,,,39899944.0,-0.42,-16846000.0,-18092000.0,-18092000.0,,,,,,,4318000.0,,,,,,,,,-16846000.0,-16846000.0,-16846000.0,,,-16846000.0,-16846000.0,,-16846000.0,,,-18092000.0,-16846000.0,18092000.0,-18092000.0,0.0,4318000.0,1212000.0,1212000.0,,,,,,-16880000.0,,,,,,13774000.0,,,,,4318000.0,,0.0,-34000.0,0.0,18092000.0,-18092000.0,,,,,0.0,ACHL,8.0,34574804.0,11.0,10.04,0.0,,0.91,0.0,0.85,-6.59,0.0,0.0,6.18,
4289,2023-01-18 00:00:00+00:00,2.86,3.21,2.84,2.92,5267700,0.0,0.0,-0.28,-0.26,7.31,,,,240252605.0,-0.38,,,,,,240252605.0,-0.38,-91000000.0,-87800000.0,-86400000.0,,,,,,-6000000.0,40800000.0,,,,,,,,,-91000000.0,-91000000.0,-91000000.0,,,-91000000.0,-91000000.0,,-91000000.0,1500000.0,1500000.0,-80400000.0,-85000000.0,87800000.0,-87800000.0,0.0,40800000.0,-4700000.0,1300000.0,,,,,,-91000000.0,,,1400000.0,,,47000000.0,,,,,40800000.0,0.0,0.0,,0.0,87800000.0,-93800000.0,-1500000.0,-6000000.0,-6000000.0,,0.0,ACHR,,,,10.85,0.0,,3.34,11.0,2.42,-15.21,-14.46,16.78,14.38,-5.48
4346,2023-06-29 00:00:00+00:00,4.35,4.77,3.95,4.02,14762000,0.0,0.0,-0.31,-0.33,-4.76,,,,247274541.0,-0.46,,,,,,247274541.0,-0.46,-113100000.0,-109900000.0,-108900000.0,,,,,,-2100000.0,44100000.0,,,,,,,,,-113100000.0,-113100000.0,-113100000.0,,,-113100000.0,-113100000.0,,-113100000.0,1600000.0,1600000.0,-106800000.0,-111000000.0,109900000.0,-109900000.0,0.0,44100000.0,-4800000.0,-2700000.0,,,,,,-113100000.0,,,1000000.0,,,65800000.0,,,,,44100000.0,0.0,0.0,,0.0,109900000.0,-112000000.0,-1600000.0,-2100000.0,-2100000.0,,0.0,ACHR,142.0,1789623170.0,,12.99,0.0,,5.58,12.0,3.95,-9.2,0.0,28.28,38.81,67.41
4359,2023-07-31 00:00:00+00:00,5.28,6.87,5.23,6.73,41685500,0.0,0.0,-0.31,-0.33,-4.76,,,,251018612.0,-0.73,,,,,,251018612.0,-0.73,-184100000.0,-181400000.0,-180300000.0,,,,,,-2100000.0,118100000.0,,,,,,4100000.0,4100000.0,,-184100000.0,-184100000.0,-184100000.0,,,-184100000.0,-184100000.0,,-184100000.0,4100000.0,4100000.0,-180300000.0,-184100000.0,181400000.0,-181400000.0,0.0,118100000.0,-6600000.0,-6600000.0,,,,,,-183900000.0,,,1100000.0,,,63300000.0,,,,,118100000.0,0.0,0.0,200000.0,0.4,181400000.0,-181400000.0,-1600000.0,-2100000.0,-2100000.0,,0.0,ACHR,148.0,1789623170.0,142.0,10.46,0.0,,7.49,17.0,5.23,-0.95,0.0,41.86,11.29,2.53
