,date,open,high,low,close,volume,dividends,splits,eps_estimate,reported_eps,surprise_pct,Amortization,AmortizationOfIntangiblesIncomeStatement,AverageDilutionEarnings,BasicAverageShares,BasicEPS,CostOfRevenue,DepletionIncomeStatement,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EarningsFromEquityInterest,EarningsFromEquityInterestNetOfTax,ExciseTaxes,GainOnSaleOfBusiness,GainOnSaleOfPPE,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromTaxLossCarryforward,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherGandA,OtherIncomeExpense,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherTaxes,OtherunderPreferredStockDividend,PreferredStockDividends,PretaxIncome,ProvisionForDoubtfulAccounts,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,ResearchAndDevelopment,RestructuringAndMergernAcquisition,SalariesAndWages,SecuritiesAmortization,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff,total_revenue,symbol,numberOfFunds,marketCapitalizationPrimary,numberOfFunds_prev,gap,earnings_acceleration,sales_acceleration,highest_1,highest_1_index,lowest_1,drawdown_open_1,drawdown_low_1,maxrunup_open_1,maxrunup_close_1,win1
37820,2023-01-17 00:00:00+00:00,13.0,13.0,10.75,11.15,5740,0.0,0.0,-0.38,-0.34,10.92,,,,2105814.0,-8.5,,,,,,2105814.0,-8.5,-17841000.0,-17013000.0,-16882000.0,,,,,,,3776000.0,,,,828000.0,828000.0,123000.0,123000.0,,-17841000.0,-17841000.0,-17841000.0,,,-17841000.0,-17841000.0,,-17841000.0,-705000.0,-705000.0,-16882000.0,-17841000.0,17093000.0,-17093000.0,0.0,1720000.0,-43000.0,-43000.0,,,,,,-17841000.0,,,131000.0,,,13317000.0,,2056000.0,,,3776000.0,,0.0,,0.0,17093000.0,-17093000.0,,,,,0.0,AXLA,,,,11.11,0.0,,19.98,7.0,10.0,-23.08,-6.98,53.65,79.15,35.2
37822,2023-01-24 00:00:00+00:00,15.88,18.8,13.9,15.0,909424,0.0,0.0,-0.38,-0.34,10.92,,,,2105814.0,-8.5,,,,,,2105814.0,-8.5,-17841000.0,-17013000.0,-16882000.0,,,,,,,3776000.0,,,,828000.0,828000.0,123000.0,123000.0,,-17841000.0,-17841000.0,-17841000.0,,,-17841000.0,-17841000.0,,-17841000.0,-705000.0,-705000.0,-16882000.0,-17841000.0,17093000.0,-17093000.0,0.0,1720000.0,-43000.0,-43000.0,,,,,,-17841000.0,,,131000.0,,,13317000.0,,2056000.0,,,3776000.0,,0.0,,0.0,17093000.0,-17093000.0,,,,,0.0,AXLA,,,,47.67,0.0,,19.98,2.0,13.3,-16.22,-4.32,25.83,33.17,5.0
37831,2023-02-16 00:00:00+00:00,18.75,19.38,15.75,18.0,841664,0.0,0.0,-0.38,-0.34,10.92,,,,2105814.0,-8.5,,,,,,2105814.0,-8.5,-17841000.0,-17013000.0,-16882000.0,,,,,,,3776000.0,,,,828000.0,828000.0,123000.0,123000.0,,-17841000.0,-17841000.0,-17841000.0,,,-17841000.0,-17841000.0,,-17841000.0,-705000.0,-705000.0,-16882000.0,-17841000.0,17093000.0,-17093000.0,0.0,1720000.0,-43000.0,-43000.0,,,,,,-17841000.0,,,131000.0,,,13317000.0,,2056000.0,,,3776000.0,,0.0,,0.0,17093000.0,-17093000.0,,,,,0.0,AXLA,,,,24.38,0.0,,19.38,0.0,15.75,-16.0,0.0,3.33,7.64,-42.78
37845,2023-04-13 00:00:00+00:00,11.5,11.5,9.25,9.38,2272,0.0,0.0,-0.3,-0.33,-10.0,,,,2946763.0,-1.25,,,,,,2946763.0,-1.25,-3976000.0,-4183000.0,-4183000.0,,,,,,,2750000.0,,,,0.0,0.0,140000.0,140000.0,,-3976000.0,-3976000.0,-3976000.0,,,-3976000.0,-3976000.0,,-3976000.0,207000.0,207000.0,-4183000.0,-3976000.0,4183000.0,-4183000.0,0.0,2750000.0,67000.0,67000.0,,,,,,-3976000.0,,,11000.0,,,1433000.0,,1333000.0,,,2750000.0,,0.0,,0.0,4183000.0,-4183000.0,-207000.0,,,,0.0,AXLA,23.0,3802920.0,,25.34,0.0,,11.75,7.0,8.75,-23.91,-5.41,2.17,25.33,10.67
37847,2023-04-18 00:00:00+00:00,9.75,10.25,9.2,9.92,5052,0.0,0.0,-0.3,-0.33,-10.0,,,,2946763.0,-1.25,,,,,,2946763.0,-1.25,-3976000.0,-4183000.0,-4183000.0,,,,,,,2750000.0,,,,0.0,0.0,140000.0,140000.0,,-3976000.0,-3976000.0,-3976000.0,,,-3976000.0,-3976000.0,,-3976000.0,207000.0,207000.0,-4183000.0,-3976000.0,4183000.0,-4183000.0,0.0,2750000.0,67000.0,67000.0,,,,,,-3976000.0,,,11000.0,,,1433000.0,,1333000.0,,,2750000.0,,0.0,,0.0,4183000.0,-4183000.0,-207000.0,,,,0.0,AXLA,23.0,3802920.0,,10.8,0.0,,11.75,4.0,9.2,-5.64,0.0,20.51,18.39,7.56
37849,2023-04-25 00:00:00+00:00,11.75,11.75,10.0,10.75,4024,0.0,0.0,-0.3,-0.33,-10.0,,,,2946763.0,-1.25,,,,,,2946763.0,-1.25,-3976000.0,-4183000.0,-4183000.0,,,,,,,2750000.0,,,,0.0,0.0,140000.0,140000.0,,-3976000.0,-3976000.0,-3976000.0,,,-3976000.0,-3976000.0,,-3976000.0,207000.0,207000.0,-4183000.0,-3976000.0,4183000.0,-4183000.0,0.0,2750000.0,67000.0,67000.0,,,,,,-3976000.0,,,11000.0,,,1433000.0,,1333000.0,,,2750000.0,,0.0,,0.0,4183000.0,-4183000.0,-207000.0,,,,0.0,AXLA,23.0,3802920.0,,12.17,0.0,,11.75,0.0,10.0,-14.89,0.0,0.0,9.3,4.65
37853,2023-05-04 00:00:00+00:00,10.75,10.75,9.32,9.88,3240,0.0,0.0,-0.16,-0.05,68.75,,,,2946763.0,-1.25,,,,,,2946763.0,-1.25,-3976000.0,-4183000.0,-4183000.0,,,,,,,2750000.0,,,,0.0,0.0,140000.0,140000.0,,-3976000.0,-3976000.0,-3976000.0,,,-3976000.0,-3976000.0,,-3976000.0,207000.0,207000.0,-4183000.0,-3976000.0,4183000.0,-4183000.0,0.0,2750000.0,67000.0,67000.0,,,,,,-3976000.0,,,11000.0,,,1433000.0,,1333000.0,,,2750000.0,,0.0,,0.0,4183000.0,-4183000.0,-207000.0,,,,0.0,AXLA,23.0,3802920.0,,15.59,-84.85,,11.25,10.0,9.25,-13.95,-0.8,4.65,13.92,-11.65
37878,2023-08-07 00:00:00+00:00,5.72,5.72,4.8,4.98,10332,0.0,0.0,-0.06,-0.05,16.67,,,,2947542.0,-1.25,,,,,,2947542.0,-1.25,-3413000.0,-3413000.0,-3403000.0,,,,,,,2319000.0,,,,0.0,0.0,132000.0,132000.0,,-3413000.0,-3413000.0,-3413000.0,,,-3413000.0,-3413000.0,,-3413000.0,132000.0,132000.0,-3403000.0,-3413000.0,3543000.0,-3543000.0,0.0,1007000.0,-2000.0,-2000.0,,,,,,-3413000.0,,,10000.0,,,1224000.0,,1312000.0,,,2319000.0,,0.0,,0.0,3543000.0,-3543000.0,-207000.0,,,,0.0,AXLA,21.0,3802920.0,23.0,21.81,0.0,,12.7,16.0,2.6,-54.59,-45.83,121.83,155.28,107.54
37885,2023-08-22 00:00:00+00:00,7.5,7.65,4.35,4.35,1981848,0.0,0.0,-0.06,-0.05,16.67,,,,2947542.0,-1.25,,,,,,2947542.0,-1.25,-3413000.0,-3413000.0,-3403000.0,,,,,,,2319000.0,,,,0.0,0.0,132000.0,132000.0,,-3413000.0,-3413000.0,-3413000.0,,,-3413000.0,-3413000.0,,-3413000.0,132000.0,132000.0,-3403000.0,-3413000.0,3543000.0,-3543000.0,0.0,1007000.0,-2000.0,-2000.0,,,,,,-3413000.0,,,10000.0,,,1224000.0,,1312000.0,,,2319000.0,,0.0,,0.0,3543000.0,-3543000.0,-207000.0,,,,0.0,AXLA,21.0,3802920.0,23.0,71.43,0.0,,41.25,15.0,2.6,-65.33,-40.23,450.0,848.28,120.69
37887,2023-08-29 00:00:00+00:00,9.07,12.7,6.53,11.25,14424156,0.0,0.0,-0.06,-0.05,16.67,,,,2947542.0,-1.25,,,,,,2947542.0,-1.25,-3413000.0,-3413000.0,-3403000.0,,,,,,,2319000.0,,,,0.0,0.0,132000.0,132000.0,,-3413000.0,-3413000.0,-3413000.0,,,-3413000.0,-3413000.0,,-3413000.0,132000.0,132000.0,-3403000.0,-3413000.0,3543000.0,-3543000.0,0.0,1007000.0,-2000.0,-2000.0,,,,,,-3413000.0,,,10000.0,,,1224000.0,,1312000.0,,,2319000.0,,0.0,,0.0,3543000.0,-3543000.0,-207000.0,,,,0.0,AXLA,21.0,3802920.0,23.0,221.24,0.0,,41.25,10.0,5.28,-41.87,-19.16,354.55,266.67,-6.04
